CHAIN,WEEK,DEX,UNIQUE_USERS,SWAP_VOLUME
Optimism,2022-02-28 00:00:00.000,uniswap,2886,22119170.75
Optimism,2022-02-28 00:00:00.000,curve,217,"null"
Polygon,2022-02-28 00:00:00.000,sushiswap,29882,41137069.99
Polygon,2022-02-28 00:00:00.000,uniswap,52936,133554958.54
Polygon,2022-02-28 00:00:00.000,kyberswap,41422,2048960.97
Polygon,2022-02-28 00:00:00.000,hashflow,941,"null"
Polygon,2022-02-28 00:00:00.000,balancer,39903,12867433.51
Polygon,2022-02-28 00:00:00.000,dodo,19098,2.12
Polygon,2022-02-28 00:00:00.000,quickswap,89995,129455545.31
Polygon,2022-02-28 00:00:00.000,curve,3920,11550127.03
Arbitrum,2022-03-07 00:00:00.000,hashflow,124,"null"
Arbitrum,2022-03-07 00:00:00.000,gmx,435,7630781.23
Arbitrum,2022-03-07 00:00:00.000,sushiswap,9057,78965688.09
Arbitrum,2022-03-07 00:00:00.000,curve,494,3956282.11
Arbitrum,2022-03-07 00:00:00.000,dodo,127,179047.74
Arbitrum,2022-03-07 00:00:00.000,balancer,1163,1883835.48
Arbitrum,2022-03-07 00:00:00.000,uniswap,3975,19844859.49
Avalanche,2022-03-07 00:00:00.000,trader joe,101874,768017047.18
Avalanche,2022-03-07 00:00:00.000,gmx,645,30926224.82
Avalanche,2022-03-07 00:00:00.000,kyberswap,1455,6829826.83
Avalanche,2022-03-07 00:00:00.000,platypus,1875,176110477.13
Avalanche,2022-03-07 00:00:00.000,woofi,5,14259.79
Avalanche,2022-03-07 00:00:00.000,pangolin,19622,85135871.59
Avalanche,2022-03-07 00:00:00.000,sushiswap,6156,1590660.61
Avalanche,2022-03-07 00:00:00.000,curve,1656,57521556.55
BSC,2022-03-07 00:00:00.000,biswap,41673,110011860.34
BSC,2022-03-07 00:00:00.000,hashflow,5671,"null"
BSC,2022-03-07 00:00:00.000,dodo,8805,743474.64
BSC,2022-03-07 00:00:00.000,pancakeswap,1123121,1223540192.42
BSC,2022-03-07 00:00:00.000,kyberswap,913,4771814.31
BSC,2022-03-07 00:00:00.000,sushiswap,3875,160604.85
BSC,2022-03-07 00:00:00.000,woofi,1859,"null"
Optimism,2022-03-07 00:00:00.000,synthetix,262,341425.04
Optimism,2022-03-07 00:00:00.000,uniswap,3642,14936024.67
Optimism,2022-03-07 00:00:00.000,curve,282,"null"
Polygon,2022-03-07 00:00:00.000,sushiswap,25173,23785754.73
Polygon,2022-03-07 00:00:00.000,dodo,13602,9.41
Polygon,2022-03-07 00:00:00.000,hashflow,1485,"null"
Polygon,2022-03-07 00:00:00.000,kyberswap,36638,1733323.14
Polygon,2022-03-07 00:00:00.000,curve,2708,5411138.71
Polygon,2022-03-07 00:00:00.000,uniswap,41410,105247470.87
Polygon,2022-03-07 00:00:00.000,quickswap,79440,90850881.68
Polygon,2022-03-07 00:00:00.000,balancer,33717,6884216.97
Arbitrum,2022-03-14 00:00:00.000,dodo,145,236513.13
Arbitrum,2022-03-14 00:00:00.000,uniswap,3755,26908061.37
Arbitrum,2022-03-14 00:00:00.000,hashflow,214,"null"
Arbitrum,2022-03-14 00:00:00.000,curve,401,5201480.91
Arbitrum,2022-03-14 00:00:00.000,sushiswap,7066,72988914.47
Arbitrum,2022-03-14 00:00:00.000,gmx,374,8997968.54
Arbitrum,2022-03-14 00:00:00.000,balancer,1179,2156942.64
Avalanche,2022-03-14 00:00:00.000,sushiswap,8017,3332673.25
Avalanche,2022-03-14 00:00:00.000,gmx,674,38127183.32
Avalanche,2022-03-14 00:00:00.000,pangolin,19473,110561992.45
Avalanche,2022-03-14 00:00:00.000,curve,2278,109301891.15
Avalanche,2022-03-14 00:00:00.000,kyberswap,1808,17777032.85
Avalanche,2022-03-14 00:00:00.000,platypus,2887,357428879.12
Avalanche,2022-03-14 00:00:00.000,woofi,530,5165654.39
Avalanche,2022-03-14 00:00:00.000,trader joe,105281,904859103.26
BSC,2022-03-14 00:00:00.000,pancakeswap,1171516,1238926752.13
BSC,2022-03-14 00:00:00.000,woofi,1835,"null"
BSC,2022-03-14 00:00:00.000,dodo,9244,1037574.87
BSC,2022-03-14 00:00:00.000,kyberswap,970,3387934.02
BSC,2022-03-14 00:00:00.000,hashflow,1080,"null"
BSC,2022-03-14 00:00:00.000,sushiswap,5071,455231.4
